OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92220
1,0,0,5,76,0,0,0,0,23,3,177,0,0,7,0,6,86412
2,0,0,7,74,0,0,0,0,42,19,167,1,0,1,0,22,80823
3,0,56,173,1073,7,1,3,10,115,26,1931,1,0,41,0,33,75500
4,0,0,1,1,0,0,0,0,0,2,11,0,0,1,0,0,70506
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65914
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61814
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58310
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55514
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53539
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52476
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52382
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53261
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55067
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57713
15,0,0,7,70,1,0,0,1,6,5,220,0,0,0,0,4,61089
16,0,0,0,21,0,0,0,1,0,2,80,0,0,0,0,0,65083
17,0,0,0,3,0,0,0,0,0,1,9,0,0,0,0,0,69588
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74511
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79775
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85317
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91086
22,0,0,1,36,0,0,0,0,0,1,145,0,0,14,0,2,88352
23,0,0,6,44,0,0,0,2,60,6,145,0,0,5,0,2,82272
24,0,0,3,58,0,0,0,1,11,5,253,0,0,7,0,0,76380
25,0,0,6,21,0,2,0,0,5,4,83,0,0,21,0,0,70724
26,0,0,10,40,0,4,0,0,4,1,164,0,0,18,0,4,65366
27,0,0,27,271,0,9,0,1,26,14,589,0,0,8,0,5,60384
28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,55880
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51977
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48820
31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46562
32,0,0,3,11,0,0,0,0,0,0,27,0,0,6,0,1,45336
33,0,4,3,86,0,0,0,1,3,2,138,0,0,26,0,4,45227
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46242
35,0,0,6,36,0,0,0,0,1,2,47,0,0,4,0,0,48311
36,0,0,6,42,0,1,0,0,4,2,122,0,0,8,0,0,51306
37,0,4,2,145,0,1,0,0,15,1,273,0,1,13,0,1,55077
38,0,4,5,102,0,0,0,0,7,1,253,0,1,3,0,1,59476
39,0,4,2,57,0,0,0,0,0,4,202,0,0,0,0,6,64374
40,0,0,0,28,0,0,0,0,0,0,77,0,0,0,0,1,69667
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75271
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81121
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87168
44,0,0,2,39,0,0,0,0,4,8,72,0,0,42,0,5,84914
45,0,16,10,128,0,1,0,0,42,8,440,0,0,57,0,5,78568
46,0,0,9,88,0,0,0,2,12,7,285,0,0,32,0,2,72376
47,0,0,12,112,0,0,0,0,30,10,267,1,0,30,0,5,66379
48,0,0,0,31,0,0,0,0,3,3,198,0,0,1,0,1,60638
49,0,0,11,69,0,1,0,0,4,4,278,0,0,2,0,1,55232
50,0,0,2,59,0,0,0,0,2,3,192,0,0,1,0,3,50268
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45890
52,0,0,0,3,0,0,0,0,0,1,2,0,0,3,0,0,42282
53,0,18,14,324,0,0,1,0,226,12,364,0,0,27,0,37,39653
54,0,0,18,265,0,0,0,1,21,12,581,0,1,36,0,10,38206
55,0,0,6,50,0,2,0,0,2,10,59,0,0,63,0,7,38076
56,0,0,5,52,0,0,0,0,2,6,53,0,0,20,0,2,39277
57,0,0,0,26,0,0,0,2,6,7,17,0,0,8,0,4,41693
58,0,4,37,408,2,2,0,2,56,9,684,0,1,23,0,6,45129
59,0,0,21,259,0,2,1,0,189,3,361,0,0,15,0,0,49374
60,0,4,19,146,6,1,0,0,43,2,365,0,3,30,1,0,54238
61,0,0,5,95,0,1,0,1,9,3,186,0,0,17,0,4,59568
62,0,0,1,80,0,0,0,1,0,5,205,1,0,15,0,4,65252
63,0,0,0,12,0,0,0,0,1,2,77,0,0,3,0,2,71204
64,0,0,3,35,0,0,0,0,2,4,135,0,0,0,0,7,77362
65,0,0,2,31,0,0,0,0,0,3,110,0,0,0,0,7,83682
66,0,0,2,50,0,1,0,1,23,20,111,0,0,13,0,2,81961
67,0,12,14,181,0,0,0,0,238,5,199,0,0,38,0,15,75366
68,0,4,73,622,5,2,1,4,25,16,697,0,0,85,0,19,68886
69,0,16,90,575,7,10,1,1,114,8,1120,0,0,106,0,17,62557
70,0,0,7,163,0,0,0,3,12,13,430,0,0,27,0,3,56428
71,0,0,14,185,0,4,0,2,10,9,551,0,0,24,0,8,50573
72,0,20,42,454,0,9,2,3,46,8,953,0,0,43,0,13,45099
73,0,10,101,634,1,0,0,9,41,39,970,0,1,61,0,48,40163
74,0,8,69,413,1,26,0,5,34,9,542,1,0,73,0,25,35984
75,0,0,12,126,0,3,0,1,22,3,188,0,0,42,0,3,32855
76,0,0,26,287,0,1,0,1,14,7,558,0,2,42,0,8,31093
77,0,0,80,228,9,18,0,3,102,40,200,0,3,80,0,21,30934
78,0,0,19,233,0,1,0,3,23,10,446,1,2,51,0,13,32400
79,0,0,6,16,1,0,0,0,9,7,12,0,0,3,0,1,35290
80,0,0,1,73,0,0,0,0,5,1,178,0,0,0,0,1,39291
81,0,0,0,34,0,0,0,0,0,4,147,0,0,3,0,0,44101
82,0,0,0,33,0,0,0,0,10,1,84,0,0,16,0,0,49486
83,0,48,241,2430,13,5,4,12,172,28,3771,1,0,187,0,98,55276
84,0,0,3,16,0,3,0,1,1,4,63,0,0,13,0,1,61359
85,0,0,6,58,0,1,0,0,0,4,152,0,0,0,0,5,67654
86,0,0,0,9,0,0,0,0,0,3,40,0,0,0,0,1,74108
87,0,0,3,24,0,0,0,0,0,2,91,0,0,0,0,1,80683
88,0,0,2,31,0,0,0,0,8,2,92,0,0,14,0,1,79545
89,0,0,1,11,0,1,0,0,2,2,29,0,0,13,0,2,72732
90,0,4,115,657,2,0,0,5,16,20,703,0,0,44,0,22,65994
91,0,34,99,760,5,0,1,5,38,27,1251,1,0,25,0,19,59357
92,0,0,6,17,0,0,0,0,0,7,187,0,0,0,0,1,52858
93,0,0,24,84,1,1,0,3,4,6,307,0,0,18,0,4,46557
94,0,12,21,106,0,0,0,1,7,16,399,0,0,25,0,6,40544
95,0,86,200,1456,11,11,4,11,94,19,2267,0,3,87,0,29,34970
96,0,6,39,258,0,3,1,5,4,8,577,1,2,60,1,10,30078
97,0,0,28,71,1,15,0,2,2,5,52,1,0,59,0,3,26254
98,0,0,144,472,11,14,1,10,139,20,601,0,8,107,0,15,24013
99,0,0,199,562,16,5,0,10,122,24,679,0,14,87,0,51,23806
100,0,8,24,354,0,0,0,2,17,9,671,0,0,71,0,9,25683
101,0,0,6,22,0,0,0,1,5,13,23,0,0,11,0,1,29244
102,0,0,13,143,0,0,1,0,10,2,403,0,0,8,0,1,33965
103,0,4,28,424,0,1,0,0,38,2,783,0,0,16,0,4,39431
104,0,0,17,67,0,8,0,0,9,2,320,0,0,10,0,4,45373
105,0,12,58,654,1,0,0,1,20,4,1274,1,0,47,0,22,51627
106,0,0,3,45,0,0,0,0,0,1,172,0,0,10,0,2,58093
107,0,0,4,100,0,0,0,1,0,6,329,0,0,0,0,7,64707
108,0,0,0,15,0,0,0,0,0,3,53,0,0,0,0,2,71428
109,0,0,3,42,0,0,0,0,0,3,178,0,0,0,0,2,78228
110,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,77718
111,0,0,0,21,0,0,0,1,4,8,62,0,0,0,0,3,70729
112,0,0,9,211,0,1,0,1,62,10,466,0,0,10,0,8,63779
113,0,10,19,215,0,1,0,1,13,4,652,0,0,3,0,3,56884
114,0,0,25,130,0,2,0,0,101,6,333,0,0,18,0,8,50066
115,0,24,40,430,0,8,2,6,183,166,849,0,0,32,0,19,43361
116,0,10,72,481,2,4,0,5,31,9,1333,0,0,57,0,8,36830
117,0,0,28,216,0,2,0,1,36,15,703,0,0,39,0,18,30586
118,0,38,63,548,0,2,0,5,53,15,968,0,3,77,0,15,24846
119,0,12,83,744,6,23,0,6,63,14,1005,0,1,106,0,23,20048
120,0,26,480,4385,28,25,9,21,465,71,5489,0,7,212,0,121,17008
121,0,148,632,4306,97,79,8,28,759,57,3827,0,16,236,0,85,16714
122,0,0,43,439,4,17,1,2,24,7,694,0,0,70,0,19,19293
